Pdiff-wave time shift, Sdiff-wave time shift, Source lattitude,            Source longitude, Receiver lattitude, Receiver longitude,            Midpoint lattitude, Midpoint longitude
-12.7,-5.9,63.99,-20.47,33.5654,-116.737,58.2963402628,-87.6671309549
-12.6,-4.5,63.99,-20.47,36.277,-117.594,59.8056949193,-87.4944234252
-12.6,-3.5,63.99,-20.47,33.936,-116.578,58.4478030065,-87.4272127567
-12.6,-5.8,63.99,-20.47,33.65,-117.009,58.3932277339,-87.8624586959
-13.5,-4.1,63.99,-20.47,34.1062,-118.455,58.9135561924,-88.9001455129
-13.2,-4.6,63.99,-20.47,35.3018,-116.806,59.1677367901,-87.1845731316
-13.4,-4.8,63.99,-20.47,35.6628,-118.474,59.6837974027,-88.4115624039
-13.7,-1.2,63.99,-20.47,33.9753,-118.149,58.786177091,-88.6910192175
-13.9,-3.8,63.99,-20.47,34.1082,-119.066,59.0402996237,-89.3996416742
-8.7,6.9,63.99,-20.47,20.7668,-156.245,61.1922284409,-129.957971096
-12.8,-4.6,63.99,-20.47,36.058,-117.489,59.6771105815,-87.4842208023
-13.2,-6.4,63.99,-20.47,34.6145,-118.724,59.2195733553,-88.9587826548
-13.3,-5.0,63.99,-20.47,34.1484,-118.171,58.8762069242,-88.6551824627
-13.3,-5.1,63.99,-20.47,34.1484,-118.171,58.8762069242,-88.6551824627
-12.6,-6.8,63.99,-20.47,33.6092,-116.455,58.261207413,-87.4257144746
-13.2,-5.1,63.99,-20.47,35.4077,-120.546,59.9871224655,-90.1887062805
-13.4,-4.7,63.99,-20.47,33.7435,-118.404,58.7238157791,-88.9708580652
-13.9,-2.8,63.99,-20.47,34.4408,-119.715,59.338714908,-89.8264229553
-12.6,-3.1,63.99,-20.47,37.0542,-118.23,60.3147685051,-87.7344589554
-13.1,-4.0,63.99,-20.47,34.1561,-118.82,59.0132266019,-89.1829857932
-1.4,-28.05,63.99,-20.47,-19.2022,17.5838,23.4833468227,5.73180040289
-1.3,-27.85,63.99,-20.47,-19.2022,17.5838,23.4833468227,5.73180040289
-12.5,-5.9,63.99,-20.47,32.3098,-110.785,56.506530231,-83.2584490583
-13.4,-4.7,63.99,-20.47,34.0192,-118.286,58.8359239216,-88.7892301318
-12.3,-3.7,63.98,-20.85,37.8762,-122.236,61.4620341136,-90.7336525461
-12.2,-3.8,63.98,-20.85,37.9189,-122.152,61.4650423809,-90.648501659
-11.4,-4.7,63.98,-20.85,34.3334,-118.026,58.8574088767,-88.5409049
-11.7,-4.1,63.98,-20.85,35.3018,-116.806,59.0882498617,-87.2502999065
-11.8,-3.1,63.98,-20.85,35.6628,-118.474,59.603163298,-88.4745487157
-12.1,-3.2,63.98,-20.85,34.1082,-119.066,58.9590224557,-89.4588632213
-11.4,-4.0,63.98,-20.85,36.058,-117.489,59.5972409543,-87.549872367
-11.7,-5.0,63.98,-20.85,34.1484,-118.171,58.7955757681,-88.7163249397
-11.7,-5.1,63.98,-20.85,34.1484,-118.171,58.7955757681,-88.7163249397
-11.9,-3.8,63.98,-20.85,35.4077,-120.546,59.904992283,-90.2468771239
-11.8,-3.7,63.98,-20.85,33.7435,-118.404,58.6429643445,-89.0308958378
-12.4,-2.0,63.98,-20.85,34.4408,-119.715,59.2570236512,-89.8847944964
-12.0,-0.5,63.98,-20.85,35.3142,-119.996,59.744878819,-89.8281283435
-10.9,-2.5,63.98,-20.85,37.0542,-118.23,60.2345289106,-87.8003937996
-6.0,27.65,20.35,121.91,64.8736,-147.862,50.7175445388,146.356302732
-6.4,5.4,33.92,139.44,35.1307,-115.184,48.6739496528,-168.416509916
-6.5,27.65,33.92,139.44,34.1082,-119.066,46.90110815,-169.890456227
