Pdiff-wave time shift, Sdiff-wave time shift, Source lattitude,            Source longitude, Receiver lattitude, Receiver longitude,            Midpoint lattitude, Midpoint longitude
-20.8,-14.5,-16.84,-173.81,-22.9681,-50.3778,-37.50137017,-114.151331259
-12.0,-6.0,-6.06,151.19,40.0499,-106.656,25.7542909949,-166.857079476
-13.7,0.5,-19.55,174.17,33.4112,-83.4666,11.0011525148,-138.941959172
-13.2,1.1,-19.55,174.17,34.5118,-89.4092,11.1700760954,-141.894495693
-14.4,0.0,-19.55,174.17,36.1297,-87.83,12.5359802001,-141.875506178
-21.9,26.85,-6.92,143.85,46.8468,9.00825,41.0685623484,100.297969998
20.9,20.4,-23.72,-66.85,-20.0882,146.255,-54.8493548769,-142.751274889
-7.3,3.8,26.7,97.15,-7.9327,-14.3601,16.4029803399,37.077737655
-6.9,10.2,-50.8,139.38,33.3882,-117.195,-13.7784605837,-158.975391157
3.6,-17.6,36.24,70.82,-5.8274,-35.9014,24.3791355819,9.48173614436
-11.6,2.3,-16.88,174.54,42.639,74.494,19.4694830526,133.359373765
-11.4,2.4,-16.88,174.54,42.6333,74.4944,19.4654318664,133.356513137
-12.5,1.2,-16.88,174.54,50.7154,78.6202,24.0107964462,139.277815989
-11.7,0.9,-16.88,174.54,42.9208,75.5966,19.4674748391,133.888104665
17.4,-3.3,-31.42,-179.95,71.6341,128.867,21.7510301351,166.889968246
7.5,-0.8,35.33,133.2,-32.3797,20.8117,2.66875979911,75.5291235477
-14.4,-16.4,7.12,-77.99,-28.6141,25.2555,-17.0221578829,-30.770898034
-13.0,-14.5,7.12,-77.99,40.148,44.741,41.7580826238,-29.9589136724
-13.6,-23.7,7.12,-77.99,49.2704,119.741,64.6560209912,-106.208592441
-12.2,-13.2,7.12,-77.99,39.3746,40.9881,39.7528773962,-30.3724114086
-14.0,-13.4,7.12,-77.99,-25.0151,25.5966,-14.3188518767,-29.4832098718
-14.5,-20.2,7.12,-77.99,59.5756,150.77,52.503180992,-108.083937333
9.7,-21.1,7.12,-77.99,36.5457,138.204,51.0370386778,-132.064352509
-14.7,-20.0,7.12,-77.99,46.808,81.977,63.9168617652,-44.0870994798
-14.6,-21.3,7.12,-77.99,44.617,129.591,59.5563660811,-120.384703091
-14.5,-21.3,7.12,-77.99,44.617,129.591,59.5563660811,-120.384703091
-12.7,-13.6,7.12,-77.99,40.4616,37.7765,39.1814812922,-31.9514065425
-12.5,-10.5,7.12,-77.99,23.5225,45.5032,30.1342839537,-20.4366463013
-10.5,-5.7,7.12,-77.99,-41.3087,174.704,-27.135690909,-121.024950993
-14.9,-21.8,7.12,-77.99,-69.0067,39.585,-42.614489018,-56.9352509975
-13.6,-20.8,7.12,-77.99,51.6807,103.644,67.8368870075,-80.7113667766
-14.7,-17.6,7.12,-77.99,52.7232,70.9797,58.506954802,-44.5326717464
-15.2,-23.2,7.12,-77.99,62.031,129.68,58.6776503529,-98.7146582833
22.8,-10.1,-4.76,153.21,54.9595,37.7664,39.0604786297,118.509952248
11.7,-2.1,13.98,-88.97,-0.6019,30.7382,13.2163762927,-27.6388588041
20.5,12.8,-5.18,132.43,50.3583,16.4111,36.6930357106,93.7105965662
23.3,10.7,-5.18,132.43,46.6202,10.2635,36.7533180789,89.7086394662
-11.9,-11.3,-32.88,-73.23,42.618,23.235,7.31416973477,-29.2146382622
9.9,-0.8,-32.88,-73.23,63.4621,-150.854,18.9337905181,-98.2511347732
7.3,-1.6,38.96,24.29,-35.7639,-69.5622,2.35314252404,-23.9390052653
-9.2,-5.5,-55.67,-123.05,82.5033,-62.35,14.680125619,-112.782131704
-7.2,29.35,-55.67,-123.05,-21.1712,55.7399,-72.8368737789,53.8845758214
-21.4,-1.8,-0.47,133.18,34.4837,-118.118,27.5852611843,179.906273895
-10.1,-4.1,-37.03,179.82,53.0581,70.2828,13.5666858852,136.34177647
-9.2,2.1,-37.03,179.82,47.8651,107.053,6.7437520276,147.086569403
-11.7,0.5,23.22,-108.27,-15.9588,-5.7457,5.8147008651,-55.4004867799
-13.1,-18.2,-8.08,118.63,49.6919,11.2217,31.8203890014,80.8227238621
8.2,-2.8,43.95,150.16,-1.2782,-90.4813,36.8504912411,-134.645978259
20.7,-7.4,-3.01,148.2,29.6699,34.9512,23.2928895824,97.579440242
20.7,-7.4,-3.01,148.2,29.6699,34.9512,23.2928895824,97.579440242
-11.2,-5.0,-3.01,148.2,69.7565,27.0035,45.6376097726,128.30171878
-11.2,-5.0,-3.01,148.2,69.7565,27.0035,45.6376097726,128.30171878
-10.0,3.3,-4.52,153.08,-51.6753,-58.0637,-56.9340076659,-172.35190572
-9.9,3.7,-4.52,153.08,-51.6753,-58.0637,-56.9340076659,-172.35190572
16.7,0.5,-8.28,120.75,-27.1267,-109.334,-37.0148137101,179.24962774
25.8,-2.6,-54.32,2.49,43.9553,42.6863,-5.54569393026,24.781608183
25.3,8.2,-54.32,2.49,55.1146,36.5674,0.418427424654,19.356787557
-19.5,-14.4,-30.65,-177.73,39.4102,-76.8403,6.88747800775,-130.998636515
14.8,-1.8,-3.79,152.3,-32.3797,20.8117,-38.1961314375,97.0036586411
2.8,-28.55,42.48,144.82,-66.6649,140.002,-12.1806676897,143.136188763
-9.5,-7.7,-0.39,-20.13,30.2762,109.494,31.9615043366,35.8481897349
-9.4,-6.1,-0.39,-20.13,27.6733,85.0928,21.8051607651,27.9589532806
20.2,-5.9,29.1,58.24,35.3018,-116.806,85.0350129378,8.92687353139
18.1,-9.7,29.1,58.24,34.2265,-116.041,84.7504867098,-0.0122146888194
19.3,-8.4,29.1,58.24,35.4077,-120.546,86.7265961374,41.8719664328
-11.2,-1.3,29.1,58.24,36.1297,-87.83,65.4029733439,-7.471324146
