Pdiff-wave time shift, Sdiff-wave time shift, Source lattitude,            Source longitude, Receiver lattitude, Receiver longitude,            Midpoint lattitude, Midpoint longitude
-1.6,20.8,34.2,141.87,46.4548,8.6629,64.5112236075,87.1285879299
-4.4,17.5,34.2,141.87,49.0619,16.3952,62.2117523757,91.7766155116
-5.5,25.7,34.2,141.87,51.1942,11.7719,64.5631442257,93.2828822112
-4.4,24.4,34.2,141.87,49.1448,12.8803,63.5833107709,91.0895978232
-1.7,21.2,55.79,160.32,39.8959,4.2665,76.963953829,46.3352494091
-1.7,21.2,55.79,160.32,39.8959,4.2665,76.963953829,46.3352494091
-1.6,23.3,55.79,160.32,47.9184,19.8944,74.7198721018,76.4508554337
-1.6,23.3,55.79,160.32,47.9182,19.8934,74.7201333894,76.4497075215
-1.7,25.7,55.79,160.32,51.9663,6.7989,80.3514370356,72.5794635411
-4.7,24.9,55.02,-134.46,40.3024,16.1365,75.3116620021,-30.8390333087
-6.2,10.7,55.02,-134.46,49.3913,11.652,77.0211092352,-49.6749625878
-4.7,10.4,55.02,-134.46,45.6236,12.1729,75.945503954,-42.8900913231
-6.0,12.0,55.02,-134.46,48.8591,17.6707,78.9488179024,-42.94259467
-5.4,27.35,55.02,-134.46,49.0619,16.3952,78.5638582823,-44.6700190238
-6.3,12.2,55.02,-134.46,50.6461,11.6161,77.3835744279,-52.0635787243
-4.6,25.8,55.02,-134.46,40.3334,15.6722,75.1593058351,-31.4992543989
-5.8,18.0,55.02,-134.46,8.5019,-63.625,36.807531669,-88.3607726555
-6.5,27.15,55.02,-134.46,36.4656,-6.2055,65.8264563413,-51.3087598916
-5.2,19.6,55.02,-134.46,40.9644,15.8235,75.4681786606,-32.0813890695
-7.2,10.1,10.57,-87.47,59.6491,9.5982,45.0391283069,-58.8527217185
-8.0,10.1,49.6,-127.19,35.35,137.029,53.6025382924,177.725514701
-3.5,24.6,49.6,-127.19,21.9409,120.812,51.3304072708,162.12231546
-7.3,17.2,49.6,-127.19,51.9663,6.7989,72.3061900162,-63.5990644134
-5.7,23.5,32.94,137.0,82.5033,-62.35,65.0142583309,140.462630082
-5.7,23.7,32.94,137.0,82.5033,-62.35,65.0142583309,140.462630082
-5.6,12.6,32.94,137.0,45.9219,9.04167,61.5533395315,83.8396286635
-8.4,19.1,32.94,137.0,52.8135,6.6695,64.4429148751,91.1534729494
-2.0,24.1,-55.43,-28.79,-41.3087,174.704,-77.7449861302,-140.811469127
-2.9,14.7,33.14,137.28,46.7568,8.15117,62.408353166,84.5570428592
-3.0,15.5,33.14,137.28,44.4581,28.4128,54.003000206,89.1838310402
-4.3,17.3,33.14,137.28,47.2638,11.6363,61.1810463091,85.9510907721
-1.0,27.05,52.3,174.12,50.9943,-4.48483,89.1477836556,35.0931717375
-0.5,26.25,-10.87,162.27,60.1043,-149.453,26.5062161432,178.101264809
-1.2,16.5,13.91,120.5,64.8736,-147.862,47.6339064447,144.428107587
-5.1,11.4,11.25,-87.02,55.3167,-3.205,40.7078640713,-58.4843271292
-3.8,18.2,11.25,-87.02,39.8959,4.2665,34.2532047353,-48.472146378
-3.8,18.2,11.25,-87.02,39.8959,4.2665,34.2532047353,-48.472146378
-7.3,16.0,11.25,-87.02,54.5477,13.3214,44.0831931716,-53.9150176329
-4.4,23.9,37.31,138.83,50.8748,13.9469,63.9873906773,88.8066870886
-2.3,25.6,37.31,138.83,48.9962,11.5213,64.3085943655,86.1109650609
-2.7,28.35,37.31,138.83,50.764,5.9317,66.9199838586,87.0077524581
-2.8,26.45,37.31,138.83,49.7766,17.5428,62.3696503048,88.6147065409
-2.8,26.45,37.31,138.83,49.7766,17.5428,62.3696503048,88.6147065409
-0.9,19.0,37.31,138.83,-32.9277,117.239,2.23821384562,127.741611855
-2.7,25.4,37.31,138.83,49.1448,12.8803,63.8460610058,86.6394749928
-4.3,21.2,23.86,122.43,64.7474,-21.3268,64.612386477,98.5233722675
-4.2,26.05,23.86,122.43,60.136,-1.17783,59.1625336543,89.386998935
-5.4,10.5,13.13,-90.61,76.7713,-18.655,48.4636081732,-78.8187247312
-5.4,10.5,13.13,-90.61,76.7713,-18.655,48.4636081732,-78.8187247312
-6.9,11.9,13.13,-90.61,52.8135,6.6695,43.5793902097,-56.8169778332
-8.1,20.9,42.88,145.36,38.2603,15.8939,63.4972637303,76.4540665807
-6.1,12.3,42.88,145.36,47.8495,14.2659,67.7161147783,85.3191585189
-5.6,15.0,42.88,145.36,46.5092,14.5489,67.1792864486,83.8617197512
-6.9,19.3,42.82,145.41,38.2603,15.8939,63.4958394245,76.5328455564
-4.5,22.9,42.82,145.41,37.8433,30.5093,57.6454640843,84.6616162875
-4.9,17.1,42.82,145.41,50.2331,12.4479,69.0820503515,87.829688561
-3.3,13.4,19.05,-81.52,43.668,11.03,41.193143811,-43.131409779
-8.9,19.1,6.26,92.57,-41.3087,174.704,-22.6446535698,126.747992347
-1.8,17.0,10.88,140.86,-66.2792,110.535,-28.487485894,132.158878528
-0.2,21.3,26.21,144.2,61.4451,-121.237,53.4007950637,173.254654327
-0.8,21.4,26.21,144.2,62.0765,-116.318,54.680785492,173.635349107
-0.1,21.0,26.21,144.2,61.3736,-121.062,53.4129809805,173.348173232
-3.8,11.7,-35.39,-16.0,49.6909,11.2203,7.3866200116,-3.98223276415
-2.2,14.7,-35.39,-16.0,47.0784,13.3447,6.06546674881,-2.66952910785
-3.2,13.5,-35.39,-16.0,47.8495,14.2659,6.47917090926,-2.36540664789
-3.0,21.3,33.72,130.15,50.8748,13.9469,59.3127726258,84.4486301036
-3.5,20.5,33.72,130.15,43.7528,6.9218,59.1987132767,75.9380994606
-3.5,17.4,33.72,130.15,51.8429,10.3741,60.8316691524,84.5020662315
-8.4,22.2,-6.47,103.04,32.438,35.422,15.5215872721,72.3383818111
-2.6,15.9,-6.47,103.04,-41.3087,174.704,-28.5778606316,133.165841869
-2.9,20.7,-32.78,-178.78,5.2902,100.649,-17.783508826,136.860237923
-3.0,14.1,51.15,179.52,47.9643,13.5665,83.8596086917,81.7430198905
-0.6,18.0,51.15,179.52,44.294,11.003,83.8117045538,62.087828604
-3.8,25.4,51.15,179.52,34.9611,33.331,71.2916993101,82.862544907
0.0,22.3,51.15,179.52,45.0233,5.62611,85.9128232387,44.455947382
-4.4,13.8,51.15,179.52,44.4581,28.4128,76.9034796151,89.9451773029
-1.6,18.8,51.15,179.52,37.441,38.8213,70.1083326292,91.0304087515
-6.0,16.9,11.06,-86.7,51.8429,10.3741,41.9046025181,-52.5510108022
-4.8,11.4,11.06,-86.7,55.34,-3.18,40.5574931513,-58.2730577932
-4.7,10.7,11.06,-86.7,55.3167,-3.205,40.541584737,-58.2667005556
-3.9,23.0,11.06,-86.7,39.8959,4.2665,34.0649840549,-48.2913824048
-3.9,23.0,11.06,-86.7,39.8959,4.2665,34.0649840549,-48.2913824048
-2.7,14.6,11.06,-86.7,36.4656,-6.2055,29.9410699051,-51.2340810981
-3.1,21.3,38.24,142.05,47.5852,13.5354,64.7375050299,86.7238197117
-5.6,23.2,38.24,142.05,37.0689,25.5306,55.7730583339,83.0622762066
-2.7,27.75,38.22,144.97,45.3233,7.02139,67.9625006845,84.1811196828
-5.6,21.8,38.22,144.97,51.1942,11.7719,67.5280647163,92.9133953091
-6.0,16.9,38.22,144.97,54.8324,-66.8332,73.592434844,-169.26759469
-5.2,24.6,38.22,144.97,45.279,4.542,69.0597888375,83.4333031884
-3.3,25.8,6.32,123.98,-41.3087,174.704,-19.2305006196,145.58565458
-2.7,13.2,38.11,142.38,64.7474,-21.3268,75.4660636027,124.740987531
-4.3,15.2,38.11,142.38,49.6909,11.2203,66.3265292765,88.8991134468
-3.4,19.5,38.11,142.38,46.5092,14.5489,64.0599571608,86.2173301206
-5.0,17.6,38.11,142.38,49.3084,16.5933,64.1940235591,89.8341896044
-0.4,23.6,-6.23,29.6,51.8429,10.3741,23.1318138781,22.2428116479
-2.4,13.8,-29.99,-177.12,6.0443,116.215,-14.2570006029,146.962642763
-1.3,19.5,-6.73,152.36,-77.5172,161.853,-42.2776644833,154.056429284
-1.7,20.4,52.21,-169.19,18.8141,98.9443,45.1200872799,132.445133986
-4.3,26.25,33.15,131.34,48.3319,8.3311,60.5447490321,81.7425608321
-4.2,25.2,33.15,131.34,51.4455,7.2643,61.9285085655,84.6912636338
-4.2,24.5,33.15,131.34,51.9663,6.7989,62.2439960439,85.1700212749
-1.6,25.3,51.96,177.07,44.7953,6.92361,84.3883943527,52.799364973
-0.7,26.85,51.96,177.07,48.1639,11.2768,83.8132082254,76.5894371876
-4.0,10.7,-24.44,-67.18,-66.2792,110.535,-69.1538365752,-65.3679186347
-1.0,19.1,-7.01,155.42,18.8141,98.9443,6.70105881873,127.907262679
-7.9,15.7,46.29,153.45,48.3319,8.3311,74.5477210678,84.4012423408
-6.2,18.8,46.29,153.45,47.2867,9.8803,73.6602123062,83.2729506847
-8.8,11.9,46.29,153.45,46.7917,22.7111,68.4840210822,88.6565427122
-7.7,25.4,46.29,153.45,40.148,44.741,58.171845256,95.0861425305
-9.6,14.8,46.29,153.45,50.764,5.9317,75.988688422,88.2979222028
-6.9,17.2,46.29,153.45,45.4909,25.945,66.8299895031,88.8639646333
-8.9,17.2,46.29,153.45,50.6461,11.6161,73.7617565387,89.5919770371
-6.7,22.1,46.29,153.45,46.5092,14.5489,71.5507821537,84.3058229923
-7.3,18.2,46.29,153.45,49.8346,18.14,71.1113438985,90.5729130721
-7.8,13.7,46.29,153.45,38.075,24.366,64.4681708945,81.1458972754
-7.3,21.3,46.29,153.45,37.441,38.8213,58.8280320584,89.9858690145
-6.4,17.2,46.29,153.45,45.4371,25.0495,67.1406864058,88.3431358926
-7.3,20.9,46.29,153.45,49.1448,12.8803,72.9292258403,87.5273103019
-3.7,13.8,46.38,153.64,37.9304,58.1189,53.3676411681,101.68039191
-5.7,19.7,46.38,153.64,40.278,36.41,61.0597925904,90.3269599733
-6.5,16.7,46.38,153.64,47.3358,7.69498,74.6782657499,82.3282440454
-8.1,15.5,46.38,153.64,53.9353,10.3169,74.9215552661,95.3764797263
-5.7,21.5,46.38,153.64,45.7381,14.4221,71.4722619387,83.1375760364
-6.8,22.3,46.38,153.64,50.3502,16.3222,72.0206277368,90.6665866395
-9.0,14.9,46.38,153.64,46.7917,22.7111,68.5857420051,88.6510652107
-7.3,16.3,46.38,153.64,48.2163,7.15896,75.1041291276,83.6920908817
-7.5,11.1,46.38,153.64,55.9233,-3.1875,79.7485150953,101.994860417
-7.6,15.6,46.38,153.64,49.5654,11.4359,73.6943001032,87.6753009718
-7.0,17.0,46.38,153.64,49.6909,11.2203,73.8069297384,87.813431841
-6.5,23.0,46.38,153.64,48.8591,17.6707,71.1184606187,89.0034942835
-6.2,19.1,46.38,153.64,40.291,33.552,62.0667556954,88.6337407636
-6.7,26.75,46.38,153.64,46.0438,14.5278,71.5228011601,83.6147937111
-5.3,19.6,46.38,153.64,46.8468,9.00825,74.0100422656,82.0968026254
-7.3,19.2,46.38,153.64,45.4909,25.945,66.9316738242,88.8597295846
-8.3,25.9,46.38,153.64,55.1146,36.5674,66.6900618827,103.768172514
-7.2,14.7,46.38,153.64,51.098,18.064,71.5688657455,92.396453901
-8.1,21.2,46.38,153.64,43.9872,7.5545,73.8374024643,76.6640635347
-7.9,15.1,46.38,153.64,45.279,4.542,75.5120339887,77.0469041589
-7.4,18.5,46.38,153.64,49.3084,16.5933,71.6488483053,89.2112908772
-6.0,20.7,20.69,119.98,64.0997,-150.987,50.3991102106,144.875858032
